reaction,rate
O(3P) + O2 + O2 -> O2 + O3,6.01e-34*(300/Tg)**2.6
O(3P) + O2 + N2 -> N2 + O3,5.51e-34*(300/Tg)**2.6
O(3P) + O(3P) + O2 -> O2 + O2,3.81e-33*(300/Tg)**0.63
O(3P) + O(3P) + N2 -> N2 + O2,9.46e-34*exp(484.7/Tg)
O(3P) + OH -> O2 + H,2.40e-11*exp(110/Tg)
O(3P) + HO2 -> O2 + OH,2.70e-11*exp(224/Tg)
O(3P) + NO + N2 -> N2 + NO2,1.03e-30*(300/Tg)**2.87*exp(780.5/Tg)
O(3P) + NO2 -> O2 + NO,5.50e-12*exp(-187.9/Tg)
O(3P) + O3 -> O2 + O2,8.00e-12*exp(-2060/Tg)
O(1D) + O2 -> O2 + O(3P),3.12e-11*exp(70/Tg)
O(1D) + N2 -> N2 + O(3P),2.10e-11*exp(115/Tg)
O(1D) + H2O -> O2 + H2,3.57e-10
O(1D) + H2O -> OH + OH,2.20e-10
O(1D) + H2 -> H + OH,1.10e-10
O(1D) + H2O2 -> O2 + H2O,5.20e-10
O(1D) + O3 -> O2 + 2O(3P),1.20e-10
O(1S) + H2O -> O2 + H2,5.00e-10
O(1S) + H2O -> H2O + O(3P),3.00e-10
O(1S) + H2O -> OH + OH,5.00e-10
O3 + H -> O2 + OH,1.40e-10*exp(-480/Tg)
O3 + OH -> O2 + HO2,1.70e-12*exp(-940/Tg)
O3 + NO -> O2 + NO2,3.16e-12*exp(1563/Tg)
O3 + O3 -> O2 + O3 + O(3P),7.16e-10*exp(-11200/Tg)
H + O2 + O2 -> O2 + HO2,5.94e-32*(300/Tg)**1
H + O2 + N2 -> N2 + HO2,5.94e-32*(300/Tg)**1
H + OH + N2 -> N2 + H2O,6.87e-31*(300/Tg)**2
H + OH + H2O -> H2O + H2O,4.38e-31*(300/Tg)**2
H + HO2 -> O2 + H2,1.75e-10*exp(-1030/Tg)
H + HO2 -> H2O + O(3P),5.00e-11*exp(-866/Tg)
H + HO2 -> OH + OH,7.40e-10*exp(-700/Tg)
OH + OH -> H2O + O(3P),6.20e-14*(Tg/300)**2.6*exp(945/Tg)
OH + OH -> H2O2,2.60e-11
OH + OH + O2 -> O2 + H2O2,6.05e-31*(300/Tg)**3
OH + OH + N2 -> N2 + H2O2,6.90e-31*(300/Tg)**0.8
OH + OH + H2O -> H2O + H2O2,1.54e-31*(300/Tg)**2*exp(183.6/Tg)
OH + HO2 -> O2 + H2O,4.80e-11*exp(250/Tg)
OH + NO + O2 -> O2 + HNO2,7.40e-31*(300/Tg)**2.4
OH + NO + N2 -> N2 + HNO2,7.40e-31*(300/Tg)**2.4
OH + NO2 + O2 -> O2 + HNO3,2.20e-30*(300/Tg)**2.9
OH + NO2 + N2 -> N2 + HNO3,2.60e-30*(300/Tg)**2.9
HO2 + NO -> OH + NO2,3.60e-12*exp(269.4/Tg)
HO2 + NO2 -> O2 + HNO2,1.20e-13
HO2 + HO2 -> O2 + H2O2,2.20e-19*exp(600.2/Tg)
HO2 + HO2 + O2 -> 2O2 + H2O2,1.90e-33*exp(980/Tg)
HO2 + HO2 + N2 -> O2 + N2 + H2O2,1.90e-33*exp(980/Tg)
