it time dt v sum(n_e) sum(n_i) sum(charge) max(E) x y max(n_e) x y max(E_r) x y min(E_r) voltage ne_zmin ne_zmax max(Etip) x y wc_time n_cells min(dx) highest(lvl) 
    34  0.68000000E-08  0.59457474E-11  0.12084961E+07  0.24893598E+12  0.18505315E+12 -0.16846229E+11  0.10123359E+08  0.36621094E-05  0.10920044E+00  0.27357585E+20  0.36621094E-05  0.10930298E+00  0.24686693E+06  0.11425781E-02  0.11346680E+00 -0.53148340E+07 -0.21600000E+06  0.10895874E+00  0.11696777E+00  0.10123359E+08  0.36621094E-05  0.10920044E+00  0.29923334E+02       61888  0.73242187E-05  9
    35  0.70000000E-08  0.59351333E-11  0.12084961E+07  0.25912065E+12  0.19306603E+12 -0.17325308E+11  0.10148803E+08  0.36621094E-05  0.10895874E+00  0.27586892E+20  0.36621094E-05  0.10906128E+00  0.25734866E+06  0.12011719E-02  0.11346680E+00 -0.53343532E+07 -0.21600000E+06  0.10870972E+00  0.11696777E+00  0.10148803E+08  0.36621094E-05  0.10895874E+00  0.30780677E+02       61696  0.73242187E-05  9
    36  0.72000000E-08  0.59247344E-11  0.12084961E+07  0.26956397E+12  0.20130409E+12 -0.17806033E+11  0.10169984E+08  0.36621094E-05  0.10871704E+00  0.27802857E+20  0.36621094E-05  0.10881958E+00  0.26560080E+06  0.12011719E-02  0.11340820E+00 -0.53527727E+07 -0.21600000E+06  0.10846802E+00  0.11696777E+00  0.10169984E+08  0.36621094E-05  0.10871704E+00  0.31579959E+02       61696  0.73242187E-05  9
    37  0.74000000E-08  0.59144907E-11  0.12451172E+07  0.28027292E+12  0.20977344E+12 -0.18288463E+11  0.10197447E+08  0.36621094E-05  0.10846802E+00  0.28028249E+20  0.36621094E-05  0.10857056E+00  0.27193478E+06  0.12011719E-02  0.11340820E+00 -0.53713230E+07 -0.21600000E+06  0.10821899E+00  0.11696777E+00  0.10197447E+08  0.36621094E-05  0.10846802E+00  0.32373729E+02       62080  0.73242187E-05  9
    38  0.76000000E-08  0.59047725E-11  0.12451172E+07  0.29125559E+12  0.21848085E+12 -0.18772677E+11  0.10220587E+08  0.36621094E-05  0.10821899E+00  0.28236742E+20  0.36621094E-05  0.10832153E+00  0.28084732E+06  0.12011719E-02  0.11340820E+00 -0.53891742E+07 -0.21600000E+06  0.10796265E+00  0.11696777E+00  0.10220587E+08  0.36621094E-05  0.10821899E+00  0.33203913E+02       61696  0.73242187E-05  9
    39  0.78000000E-08  0.58947575E-11  0.12817383E+07  0.30251900E+12  0.22743249E+12 -0.19258685E+11  0.10243206E+08  0.36621094E-05  0.10796265E+00  0.28442786E+20  0.36621094E-05  0.10807251E+00  0.28391612E+06  0.12597656E-02  0.11334961E+00 -0.54064651E+07 -0.21600000E+06  0.10771362E+00  0.11696777E+00  0.10243206E+08  0.36621094E-05  0.10796265E+00  0.34029491E+02       62656  0.73242187E-05  9
    40  0.80000000E-08  0.58852693E-11  0.12451172E+07  0.31407278E+12  0.23663654E+12 -0.19746477E+11  0.10264850E+08  0.36621094E-05  0.10771362E+00  0.28644613E+20  0.36621094E-05  0.10781616E+00  0.29359806E+06  0.12597656E-02  0.11334961E+00 -0.54227456E+07 -0.21600000E+06  0.10745728E+00  0.11696777E+00  0.10264850E+08  0.36621094E-05  0.10771362E+00  0.34844864E+02       63808  0.73242187E-05  9
    41  0.82000000E-08  0.58794969E-11  0.12817383E+07  0.32592441E+12  0.24609951E+12 -0.20236078E+11  0.10285600E+08  0.36621094E-05  0.10745728E+00  0.28836707E+20  0.36621094E-05  0.10755981E+00  0.30199279E+06  0.12597656E-02  0.11329102E+00 -0.54384250E+07 -0.21600000E+06  0.10719360E+00  0.11707764E+00  0.10285600E+08  0.36621094E-05  0.10745728E+00  0.35694406E+02       64576  0.73242187E-05  9
    42  0.84000000E-08  0.58701864E-11  0.13183594E+07  0.33808094E+12  0.25582767E+12 -0.20727517E+11  0.10308915E+08  0.36621094E-05  0.10719360E+00  0.29024613E+20  0.36621094E-05  0.10730347E+00  0.28749309E+06  0.13476562E-02  0.11326172E+00 -0.54539564E+07 -0.21600000E+06  0.10693726E+00  0.11707764E+00  0.10308915E+08  0.36621094E-05  0.10719360E+00  0.36590080E+02       64576  0.73242187E-05  9
    43  0.86000000E-08  0.58612533E-11  0.13183594E+07  0.35055070E+12  0.26582821E+12 -0.21220834E+11  0.10325126E+08  0.36621094E-05  0.10692993E+00  0.29190103E+20  0.36621094E-05  0.10703979E+00  0.30144132E+06  0.13476562E-02  0.11326172E+00 -0.54692780E+07 -0.21600000E+06  0.10667358E+00  0.11707764E+00  0.10325126E+08  0.36621094E-05  0.10692993E+00  0.37445741E+02       63808  0.73242187E-05  9
    44  0.88000000E-08  0.58524337E-11  0.13183594E+07  0.36334247E+12  0.27610884E+12 -0.21716006E+11  0.10344261E+08  0.36621094E-05  0.10666626E+00  0.29356463E+20  0.36621094E-05  0.10677612E+00  0.31352266E+06  0.13476562E-02  0.11326172E+00 -0.54850699E+07 -0.21600000E+06  0.10640259E+00  0.11707764E+00  0.10344261E+08  0.36621094E-05  0.10666626E+00  0.38291247E+02       64768  0.73242187E-05  9
    45  0.90000000E-08  0.58441210E-11  0.13183594E+07  0.37646538E+12  0.28667749E+12 -0.22212939E+11  0.10365182E+08  0.36621094E-05  0.10640259E+00  0.29522030E+20  0.36621094E-05  0.10651245E+00  0.32428767E+06  0.13476562E-02  0.11326172E+00 -0.55015591E+07 -0.21600000E+06  0.10613892E+00  0.11707764E+00  0.10365182E+08  0.36621094E-05  0.10640259E+00  0.39172338E+02       65536  0.73242187E-05  9
    46  0.92000000E-08  0.58363027E-11  0.13549805E+07  0.38992775E+12  0.29754132E+12 -0.22711830E+11  0.10379255E+08  0.36621094E-05  0.10613159E+00  0.29661720E+20  0.36621094E-05  0.10624878E+00  0.33481139E+06  0.13476562E-02  0.11314453E+00 -0.55183659E+07 -0.21600000E+06  0.10586792E+00  0.11707764E+00  0.10379255E+08  0.36621094E-05  0.10613159E+00  0.40030667E+02       65728  0.73242187E-05  9
    47  0.94000000E-08  0.58294522E-11  0.13549805E+07  0.40373858E+12  0.30870811E+12 -0.23212612E+11  0.10394929E+08  0.36621094E-05  0.10586060E+00  0.29801789E+20  0.36621094E-05  0.10597778E+00  0.34421316E+06  0.13476562E-02  0.11314453E+00 -0.55351742E+07 -0.21600000E+06  0.10558960E+00  0.11707764E+00  0.10394929E+08  0.36621094E-05  0.10586060E+00  0.40888844E+02       66112  0.73242187E-05  9
    48  0.96000000E-08  0.58228218E-11  0.13549805E+07  0.41790671E+12  0.32018555E+12 -0.23715269E+11  0.10412500E+08  0.36621094E-05  0.10558960E+00  0.29926869E+20  0.36621094E-05  0.10570679E+00  0.35246335E+06  0.13476562E-02  0.11314453E+00 -0.55517989E+07 -0.21600000E+06  0.10531860E+00  0.11707764E+00  0.10412500E+08  0.36621094E-05  0.10558960E+00  0.41748765E+02       67840  0.73242187E-05  9
    49  0.98000000E-08  0.58170325E-11  0.13916016E+07  0.43244115E+12  0.33198146E+12 -0.24219753E+11  0.10424179E+08  0.36621094E-05  0.10531128E+00  0.30066219E+20  0.36621094E-05  0.10542847E+00  0.36016200E+06  0.13476562E-02  0.11314453E+00 -0.55673642E+07 -0.21600000E+06  0.10504028E+00  0.11707764E+00  0.10424179E+08  0.36621094E-05  0.10531128E+00  0.42634593E+02       67840  0.73242187E-05  9
    50  0.10000000E-07  0.58112879E-11  0.13916016E+07  0.44735115E+12  0.34410375E+12 -0.24726086E+11  0.10437907E+08  0.36621094E-05  0.10503296E+00  0.30188469E+20  0.36621094E-05  0.10515015E+00  0.36717983E+06  0.13476562E-02  0.11314453E+00 -0.55819342E+07 -0.21600000E+06  0.10476196E+00  0.11707764E+00  0.10437907E+08  0.36621094E-05  0.10503296E+00  0.43503818E+02       69568  0.73242187E-05  9
    51  0.10200000E-07  0.58059896E-11  0.13916016E+07  0.46264614E+12  0.35656064E+12 -0.25234256E+11  0.10454903E+08  0.36621094E-05  0.10475464E+00  0.30317546E+20  0.36621094E-05  0.10487183E+00  0.37360512E+06  0.13476562E-02  0.11314453E+00 -0.55949338E+07 -0.21600000E+06  0.10447632E+00  0.11707764E+00  0.10454903E+08  0.36621094E-05  0.10475464E+00  0.44397487E+02       69760  0.73242187E-05  9
    52  0.10400000E-07  0.58005693E-11  0.13916016E+07  0.47833493E+12  0.36935988E+12 -0.25744221E+11  0.10466325E+08  0.36621094E-05  0.10447632E+00  0.30423980E+20  0.36621094E-05  0.10459351E+00  0.37978903E+06  0.13476562E-02  0.11314453E+00 -0.56067013E+07 -0.21600000E+06  0.10419067E+00  0.11707764E+00  0.10466325E+08  0.36621094E-05  0.10447632E+00  0.45274082E+02       70144  0.73242187E-05  9
    53  0.10600000E-07  0.57954844E-11  0.14282227E+07  0.49442610E+12  0.38250907E+12 -0.26255864E+11  0.10481167E+08  0.36621094E-05  0.10419067E+00  0.30556869E+20  0.36621094E-05  0.10430786E+00  0.38622673E+06  0.13476562E-02  0.11314453E+00 -0.56175986E+07 -0.21600000E+06  0.10390503E+00  0.11707764E+00  0.10481167E+08  0.36621094E-05  0.10419067E+00  0.46165382E+02       70528  0.73242187E-05  9
    54  0.10800000E-07  0.57900543E-11  0.14648437E+07  0.51093077E+12  0.39601754E+12 -0.26769327E+11  0.10496508E+08  0.36621094E-05  0.10389771E+00  0.30679460E+20  0.36621094E-05  0.10402222E+00  0.39206829E+06  0.13476562E-02  0.11314453E+00 -0.56273768E+07 -0.21600000E+06  0.10361206E+00  0.11707764E+00  0.10496508E+08  0.36621094E-05  0.10389771E+00  0.47053315E+02       71488  0.73242187E-05  9
    55  0.11000000E-07  0.57846031E-11  0.14282227E+07  0.52785836E+12  0.40989355E+12 -0.27284578E+11  0.10511684E+08  0.36621094E-05  0.10361206E+00  0.30823205E+20  0.36621094E-05  0.10372925E+00  0.39777293E+06  0.13476562E-02  0.11314453E+00 -0.56369558E+07 -0.21600000E+06  0.10331909E+00  0.11707764E+00  0.10511684E+08  0.36621094E-05  0.10361206E+00  0.47958180E+02       71872  0.73242187E-05  9
    56  0.11200000E-07  0.57790050E-11  0.14648437E+07  0.54521873E+12  0.42414582E+12 -0.27801579E+11  0.10527512E+08  0.36621094E-05  0.10331909E+00  0.30952636E+20  0.36621094E-05  0.10343628E+00  0.40445407E+06  0.14648438E-02  0.11291016E+00 -0.56462999E+07 -0.21600000E+06  0.10302612E+00  0.11707764E+00  0.10527512E+08  0.36621094E-05  0.10331909E+00  0.48847752E+02       71872  0.73242187E-05  9
    57  0.11400000E-07  0.57730329E-11  0.15014648E+07  0.56302476E+12  0.43878543E+12 -0.28320316E+11  0.10540237E+08  0.36621094E-05  0.10301880E+00  0.31096876E+20  0.36621094E-05  0.10314331E+00  0.42002163E+06  0.14648438E-02  0.11291016E+00 -0.56559397E+07 -0.21600000E+06  0.10273315E+00  0.11719482E+00  0.10540237E+08  0.36621094E-05  0.10301880E+00  0.49758945E+02       73024  0.73242187E-05  9
    58  0.11600000E-07  0.57671466E-11  0.14648437E+07  0.58128845E+12  0.45382273E+12 -0.28840724E+11  0.10559207E+08  0.36621094E-05  0.10272583E+00  0.31230477E+20  0.36621094E-05  0.10285034E+00  0.43497015E+06  0.14648438E-02  0.11291016E+00 -0.56657582E+07 -0.21600000E+06  0.10243286E+00  0.11719482E+00  0.10559207E+08  0.36621094E-05  0.10272583E+00  0.50705008E+02       73600  0.73242187E-05  9
    59  0.11800000E-07  0.57608907E-11  0.15014648E+07  0.60002275E+12  0.46926885E+12 -0.29362789E+11  0.10574987E+08  0.36621094E-05  0.10242554E+00  0.31376215E+20  0.36621094E-05  0.10255005E+00  0.44946551E+06  0.14648438E-02  0.11291016E+00 -0.56757063E+07 -0.21600000E+06  0.10212524E+00  0.11719482E+00  0.10574987E+08  0.36621094E-05  0.10242554E+00  0.51620904E+02       72256  0.73242187E-05  9
