# File with transport data and reaction rates for an air chemistry.
# Transport data calculated using the offline BOLSIG- solver with data from the Phelps database (N2, O2), 
# Morgan for O3 ionization, and IST-Lisbon for N and O ionization.
# The reactions are from:
# Ono and Komuro 2020 (https://doi.org/10.1088/1361-6463/ab4e65),
# Panchesnyi 2013 (https://doi.org/10.1088/0022-3727/46/15/155201),
# Kossyi 1992 (https://doi.org/10.1088/0963-0252/1/3/011).

reaction_list
-----------------------
# Rotational excitation
e + N2 -> e + N2*(rot),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2*(rot),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2*(v1),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v1),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v2),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2*(v3),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2*(v4),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2*(v5),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2*(v6),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2*(v7),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2*(v8),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2*(v1),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v1),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v2),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v2),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v3),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2*(v4),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2*(A1),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2*(A2),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2*(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2*(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2*(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2*(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2*(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2*(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2*(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2*(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2*(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2*(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2*(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2*(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2*(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(^4S) + N(^2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(^3P) + O(^3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(^3P) + O(^1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(^3P) + O(^1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
e + O3 -> e + e + O3+,field_table,C45 O3 Ionization 12.43 eV
e + O(^3P) -> e + e + O+,field_table,C47 O Ionization 13.60 eV
e + N(^4S) -> e + e + N+,field_table,C49 N Ionization 14.54 eV
O4+ + O- -> 2O2 + O(^3P),c1,1e-07,cm
O4+ + O2- + O2 -> 3O2 + 2O(^3P),c1*(300/Tg)**c2,2e-25 2.5,cm
O4+ + O2- -> 3O2,c1,1e-07,cm
O4+ + O3- -> 2O2 + O3,c1,1e-07,cm
# Neutral species conversion
N2*(A1) + O2 -> N2 + O2*(b),c1,7.5e-13,cm
N2*(A1) + O2 -> N2 + 2O(^3P),c1,1.7e-12,cm
N2*(A1) + O2 -> N2O + O(^3P),c1,7.8e-14,cm
N2*(A1) + N2 -> 2N2,c1,3e-16,cm
N2*(A1) + N2*(A1) -> N2 + N2*(B),c1,7.7e-11,cm
N2*(A1) + N2*(A1) -> N2 + N2*(C),c1,1.6e-10,cm
N2*(A1) + N2*(A1) -> N2 + N2*(E),c1,1e-11,cm
N2*(A1) + O(^3P) -> N2 + O(^3P),c1,2e-11,cm
N2*(A1) + O(^3P) -> N2 + O(^1S),c1,3e-11,cm
N2*(A1) + O(^3P) -> NO + N(^2D),c1,7e-12,cm
N2*(A1) + N(^4S) -> N2 + N(^2P),c1,5e-11,cm
N2*(A2) + N2 -> 2N2,c1,3e-16,cm
N2*(A2) + N2 -> N2 + N2*(A1),c1,1e-11,cm
N2*(A2) + O(^3P) -> N2 + O(^3P),c1,2e-11,cm
N2*(A2) + O(^3P) -> NO + N(^4S),c1,7e-12,cm
N2*(B) + O2 -> N2 + 2O(^3P),c1,3e-10,cm
N2*(B) + N2 -> N2 + N2*(A1),c1,1e-11,cm
N2*(B) -> N2*(A1),c1,1.1e5
N2*(a) + O2 -> N2 + O(^3P) + O(^1D),c1,2.8e-11,cm
N2*(a) + N2 -> N2 + N2*(B),c1,2.4e-13,cm
N2*(C) + O2 -> N2 + 2O(^3P),c1,2.5e-10,cm
N2*(C) + O2 -> N2 + O(^3P) + O(^1S),c1,3e-10,cm
N2*(C) + N2 -> N2 + N2*(B),c1,1e-11,cm
N2*(C) + N2 -> N2 + N2*(a),c1,1e-11,cm
N2*(C) -> N2*(B),c1,2.4e7
N2*(E) + N2 -> N2 + N2*(C),c1,1e-11,cm
N(^4S) + O2 -> NO + O(^3P),c1*Tg**c2*exp(-c3/Tg),9.7e-15 1.01 3120.0,cm
N(^4S) + O3 -> NO + O2,c1,2e-16,cm
N(^4S) + O(^3P) + M -> NO + M,c1*Tg**c2,1.76e-31 -0.5,cm
N(^4S) + N(^4S) + N2 -> N2 + N2*(A1),c1*exp(-c2/Tg),1.38e-34 500.0,cm
N(^4S) + N(^4S) + N2 -> N2 + N2*(A2),c1*exp(-c2/Tg),1.38e-34 500.0,cm
N(^4S) + N(^4S) + N2 -> N2 + N2*(B),c1,2.4e-33,cm
N(^4S) + N(^4S) + M -> N2 + M,c1*exp(-c2/Tg),8.27e-34 -500.0,cm
N(^4S) + N(^2P) -> N(^4S) + N(^2D),c1,1.8e-12,cm
N(^2D) + O2 -> NO + O(^3P),c1*exp(-c2/Tg),2.52e-12 185.0,cm
N(^2D) + O2 -> NO + O(^1D),c1*exp(-c2/Tg),7.37e-12 185.0,cm
N(^2D) + N2 -> N2 + N(^4S),c1,1.7e-14,cm
N(^2D) + O(^3P) -> N(^4S) + O(^3P),c1*exp(-c2/Tg),3.3e-12 260.0,cm
N(^2P) + O2 -> NO + O(^3P),c1,2.6e-12,cm
N(^2P) + N2 -> N2 + N(^2D),c1,2e-18,cm
O2*(a) + O2 -> 2O2,c1*(Tg/c2)**c3,2.2e-18 300.0 0.8,cm
O2*(a) + O3 -> 2O2 + O(^3P),c1*exp(-c2/Tg),9.7e-13 1564.0,cm
O2*(a) + N2 -> O2 + N2,c1,3e-21,cm
O2*(a) + O(^3P) -> O2 + O(^3P),c1,7e-16,cm
O2*(a) + O(^1S) -> 3O(^3P),c1,3.4e-11,cm
O2*(a) + O(^1S) -> O2*(b) + O(^1D),c1,3.6e-11,cm
O2*(a) + O(^1S) -> O2*(A) + O(^3P),c1,1.3e-10,cm
O2*(a) + N(^4S) -> NO + O(^3P),c1*exp(-c2/Tg),2e-14 600.0,cm
O2*(b) + O2 -> O2 + O2*(a),c1*Tg**c2*exp(-c3/Tg),4.3e-22 2.4 241.0,cm
O2*(b) + O3 -> 2O2 + O(^3P),c1,1.8e-11,cm
O2*(b) + N2 -> N2 + O2*(a),c1,2.1e-15,cm
O2*(b) + O(^3P) -> O2*(a) + O(^3P),c1,8e-14,cm
O2*(b) + O(^3P) -> O2 + O(^1D),c1*(300/Tg)**c2*exp(-c3/Tg),3.39e-11 0.1 4201.0,cm
O2*(A) + O2 -> 2O2*(b),c1,2.9e-13,cm
O2*(A) + N2 -> N2 + O2*(b),c1,3e-13,cm
O2*(A) + O(^3P) -> O2*(b) + O(^1D),c1,9e-12,cm
O(^3P) + O2 + O2 -> O3 + O2,c1*(300/Tg)**c2,6e-34 2.6,cm
O(^3P) + O2 + N2 -> O3 + N2,c1*(300/Tg)**c2,5.6e-34 2.6,cm
O(^3P) + O3 -> 2O2,c1*exp(-c2/Tg),8e-12 2060.0,cm
O(^3P) + O(^3P) + O2 -> 2O2,c1*Tg**c2,2.45e-31 -0.63,cm
O(^3P) + O(^3P) + N2 -> O2 + N2,c1*exp(-c2/Tg),2.76e-34 -720.0,cm
O(^3P) + O(^1D) + N2 -> O2 + N2,c1,9.9e-33,cm
O(^3P) + O(^1S) -> O(^3P) + O(^1D),c1*exp(-c2/Tg),5e-11 301.0,cm
O(^1D) + O2 -> O2 + O(^3P),c1*exp(-c2/Tg),3.12e-11 -70.0,cm
O(^1D) + O2 -> O2*(b) + O(^3P),c1*exp(-c2/Tg),2.56e-11 -67.0,cm
O(^1D) + O3 -> 2O2,c1*exp(-c2/Tg),2.37e-10 -6.0,cm
O(^1D) + O3  -> O2 + 2O(^3P),c1*exp(-c2/Tg),2.37e-10 -6.0,cm
O(^1D) + N2 -> N2 + O(^3P),c1*exp(-c2/Tg),2.1e-11 -115.0,cm
O(^1S) + O2 -> O2 + O(^1D),c1*exp(-c2/Tg),1.33e-12 850.0,cm
O(^1S) + O2 -> O2*(A) + O(^3P),c1*exp(-c2/Tg),2.97e-12 850.0,cm
O(^1S) + O3 -> 2O2,c1,2.9e-10,cm
O(^1S) + O3 -> O2 + O(^3P) + O(^1D),c1,2.9e-10,cm
O3 + O3 -> O2 + O3 + O(^3P),c1*exp(-c2/Tg),7.16e-10 11200.0,cm
-----------------------

ignored_species
-----------------------
-----------------------


Mean energy (eV)
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000021e-02 3.973000000000000143e-02
1.123000000000000040e-02 3.994000000000000328e-02
1.261999999999999927e-02 4.021000000000000268e-02
1.417000000000000030e-02 4.052999999999999658e-02
1.592000000000000012e-02 4.093000000000000110e-02
1.788999999999999965e-02 4.141999999999999849e-02
2.009000000000000022e-02 4.202000000000000179e-02
2.256999999999999978e-02 4.275999999999999940e-02
2.535000000000000100e-02 4.365000000000000130e-02
2.847999999999999837e-02 4.474999999999999811e-02
3.198999999999999760e-02 4.608000000000000290e-02
3.593999999999999972e-02 4.771000000000000241e-02
4.037000000000000310e-02 4.966999999999999887e-02
4.535000000000000142e-02 5.202999999999999986e-02
5.093999999999999917e-02 5.485999999999999904e-02
5.722000000000000003e-02 5.820999999999999786e-02
6.428000000000000380e-02 6.214999999999999691e-02
7.220999999999999641e-02 6.672999999999999765e-02
8.111000000000000154e-02 7.198000000000000231e-02
9.112000000000000655e-02 7.788000000000000478e-02
1.024000000000000049e-01 8.436000000000000443e-02
1.150000000000000050e-01 9.131000000000000227e-02
1.292000000000000093e-01 9.854000000000000259e-02
1.451000000000000068e-01 1.058999999999999941e-01
1.630000000000000060e-01 1.131000000000000061e-01
1.831000000000000127e-01 1.200999999999999984e-01
2.056999999999999940e-01 1.267999999999999960e-01
2.310000000000000109e-01 1.332000000000000128e-01
