time  field
5.52110422e-09  1.50000000e+06
5.52710542e-09  1.50000000e+06
5.53310662e-09  1.50000000e+06
5.53910782e-09  1.50000000e+06
5.54510902e-09  1.50000000e+06
5.55111022e-09  1.50000000e+06
5.55711142e-09  1.50000000e+06
5.56311262e-09  1.50000000e+06
5.56911382e-09  1.50000000e+06
5.57511502e-09  1.50000000e+06
5.58111622e-09  1.50000000e+06
5.58711742e-09  1.50000000e+06
5.59311862e-09  1.50000000e+06
5.59911982e-09  1.50000000e+06
5.60512102e-09  1.50000000e+06
5.61112222e-09  1.50000000e+06
5.61712342e-09  1.50000000e+06
5.62312462e-09  1.50000000e+06
5.62912583e-09  1.50000000e+06
5.63512703e-09  1.50000000e+06
5.64112823e-09  1.50000000e+06
5.64712943e-09  1.50000000e+06
5.65313063e-09  1.50000000e+06
5.65913183e-09  1.50000000e+06
5.66513303e-09  1.50000000e+06
5.67113423e-09  1.50000000e+06
5.67713543e-09  1.50000000e+06
5.68313663e-09  1.50000000e+06
5.68913783e-09  1.50000000e+06
5.69513903e-09  1.50000000e+06
5.70114023e-09  1.50000000e+06
5.70714143e-09  1.50000000e+06
5.71314263e-09  1.50000000e+06
5.71914383e-09  1.50000000e+06
5.72514503e-09  1.50000000e+06
5.73114623e-09  1.50000000e+06
5.73714743e-09  1.50000000e+06
5.74314863e-09  1.50000000e+06
5.74914983e-09  1.50000000e+06
5.75515103e-09  1.50000000e+06
5.76115223e-09  1.50000000e+06
5.76715343e-09  1.50000000e+06
5.77315463e-09  1.50000000e+06
5.77915583e-09  1.50000000e+06
5.78515703e-09  1.50000000e+06
5.79115823e-09  1.50000000e+06
5.79715943e-09  1.50000000e+06
5.80316063e-09  1.50000000e+06
5.80916183e-09  1.50000000e+06
5.81516303e-09  1.50000000e+06
5.82116423e-09  1.50000000e+06
5.82716543e-09  1.50000000e+06
5.83316663e-09  1.50000000e+06
5.83916783e-09  1.50000000e+06
5.84516903e-09  1.50000000e+06
5.85117023e-09  1.50000000e+06
5.85717143e-09  1.50000000e+06
5.86317263e-09  1.50000000e+06
5.86917383e-09  1.50000000e+06
5.87517504e-09  1.50000000e+06
5.88117624e-09  1.50000000e+06
5.88717744e-09  1.50000000e+06
5.89317864e-09  1.50000000e+06
5.89917984e-09  1.50000000e+06
5.90518104e-09  1.50000000e+06
5.91118224e-09  1.50000000e+06
5.91718344e-09  1.50000000e+06
5.92318464e-09  1.50000000e+06
5.92918584e-09  1.50000000e+06
5.93518704e-09  1.50000000e+06
5.94118824e-09  1.50000000e+06
5.94718944e-09  1.50000000e+06
5.95319064e-09  1.50000000e+06
5.95919184e-09  1.50000000e+06
5.96519304e-09  1.50000000e+06
5.97119424e-09  1.50000000e+06
5.97719544e-09  1.50000000e+06
5.98319664e-09  1.50000000e+06
5.98919784e-09  1.50000000e+06
5.99519904e-09  1.50000000e+06
