BOLSIG+ version: 11/2019
Collision input data:
--------------------------------------------------
Ar                                                              
SigloDataBase-LXCat-04Jun2013.txt
How to reference in publications:
1) Yamabe, Buckman, and Phelps, Phys. Rev. 27, 1345 (1983). Revised Oct 1997
2) PHELPS database,http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013.
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. *N (1/m/s)                               
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29    
          34   112.9       7.086      0.7771E+24  0.6856E+25  0.1098E+25  0.5479E+25  0.1599E-12  0.2263E-12  0.1160E-15  0.1322E-20  0.9904E-14  0.4159E-16  0.9040E-14  0.8218E-15   42.75       5.000       1.000    
          35   119.7       7.158      0.7716E+24  0.6819E+25  0.1093E+25  0.5478E+25  0.1614E-12  0.2280E-12  0.1372E-15  0.1485E-20  0.1106E-13  0.4236E-16  0.1003E-13  0.9821E-15   50.96       10.00       2.000    
          36   126.7       7.230      0.7662E+24  0.6782E+25  0.1088E+25  0.5479E+25  0.1629E-12  0.2295E-12  0.1610E-15  0.1658E-20  0.1231E-13  0.4313E-16  0.1110E-13  0.1164E-14   50.96       5.000       1.000    
          37   134.0       7.303      0.7611E+24  0.6746E+25  0.1083E+25  0.5481E+25  0.1644E-12  0.2311E-12  0.1875E-15  0.1839E-20  0.1366E-13  0.4390E-16  0.1225E-13  0.1369E-14   50.96       5.000       1.000    
          38   141.4       7.376      0.7562E+24  0.6711E+25  0.1079E+25  0.5484E+25  0.1659E-12  0.2326E-12  0.2169E-15  0.2028E-20  0.1512E-13  0.4467E-16  0.1348E-13  0.1600E-14   50.96       5.000       1.000    
          39   149.0       7.449      0.7515E+24  0.6676E+25  0.1075E+25  0.5489E+25  0.1673E-12  0.2340E-12  0.2493E-15  0.2226E-20  0.1669E-13  0.4544E-16  0.1479E-13  0.1857E-14   50.96       6.000       1.000    
          40   156.9       7.522      0.7470E+24  0.6643E+25  0.1071E+25  0.5496E+25  0.1687E-12  0.2355E-12  0.2849E-15  0.2431E-20  0.1838E-13  0.4620E-16  0.1619E-13  0.2143E-14   60.75       12.00       2.000    
          41   164.9       7.596      0.7426E+24  0.6610E+25  0.1067E+25  0.5503E+25  0.1701E-12  0.2369E-12  0.3238E-15  0.2644E-20  0.2020E-13  0.4697E-16  0.1769E-13  0.2460E-14   60.75       6.000       1.000    
          42   173.2       7.670      0.7383E+24  0.6578E+25  0.1064E+25  0.5513E+25  0.1715E-12  0.2382E-12  0.3663E-15  0.2865E-20  0.2214E-13  0.4774E-16  0.1928E-13  0.2810E-14   60.75       6.000       1.000    
          43   181.6       7.745      0.7342E+24  0.6548E+25  0.1061E+25  0.5523E+25  0.1728E-12  0.2396E-12  0.4125E-15  0.3093E-20  0.2422E-13  0.4851E-16  0.2097E-13  0.3195E-14   60.75       6.000       1.000    
