BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_phelps.txt
--------------------------------------------------
O2                                                              
cross_section_phelps.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction N2                          0.8000    
A22    Mole fraction O2                          0.2000    
          R#      A1         A16         A17    
         301   7.960       3.000       2.900    
         302   8.015       3.000       2.900    
         303   8.071       3.000       2.900    
         304   8.127       3.000       2.900    
         305   8.183       3.000       2.900    
         306   8.240       3.000       2.900    
         307   8.297       3.000       2.900    
         308   8.355       3.000       2.900    
         309   8.412       3.000       2.900    
         310   8.471       3.000       2.900    
         311   8.530       3.000       2.900    
         312   8.589       3.000       2.900    
         313   8.648       3.000       2.900    
         314   8.708       3.000       2.900    
         315   8.769       3.000       2.900    
         316   8.830       3.000       2.900    
         317   8.891       3.000       2.900    
         318   8.953       3.000       2.900    
         319   9.015       3.000       2.900    
         320   9.077       3.000       2.900    
         321   9.140       3.000       2.900    
         322   9.204       3.000       2.900    
         323   9.268       3.000       2.900    
         324   9.332       3.000       2.900    
         325   9.397       3.000       2.900    
         326   9.462       3.000       2.900    
         327   9.528       3.000       2.900    
         328   9.594       3.000       2.900    
         329   9.660       3.000       2.900    
         330   9.727       3.000       2.900    
         331   9.795       3.000       2.900    
         332   9.863       3.000       2.900    
         333   9.931       3.000       2.900    
         334   10.00       3.000       2.900    
         335   10.07       3.000       3.454    
         336   10.14       3.000       3.454    
         337   10.21       3.000       3.454    
         338   10.28       3.000       3.454    
         339   10.35       3.000       3.454    
         340   10.42       3.000       3.454    
         341   10.50       3.000       3.454    
         342   10.57       3.000       3.454    
         343   10.64       3.000       3.454    
         344   10.72       3.000       3.454    
         345   10.79       3.000       3.454    
         346   10.87       3.000       3.454    
         347   10.94       3.000       3.454    
         348   11.02       3.000       3.454    
         349   11.09       3.000       3.454    
         350   11.17       3.000       3.454    
         351   11.25       3.000       3.454    
         352   11.33       3.000       3.454    
         353   11.40       3.000       3.454    
         354   11.48       3.000       3.454    
         355   11.56       3.000       3.454    
         356   11.64       3.000       3.454    
         357   11.72       3.000       3.454    
         358   11.81       3.000       3.454    
         359   11.89       3.000       3.454    
         360   11.97       3.000       3.454    
         361   12.05       3.000       3.454    
         362   12.14       3.000       3.454    
         363   12.22       3.000       4.113    
         364   12.31       3.000       4.113    
         365   12.39       3.000       4.113    
         366   12.48       3.000       4.113    
         367   12.56       3.000       4.113    
         368   12.65       3.000       4.113    
         369   12.74       3.000       4.113    
         370   12.83       3.000       4.899    
         371   12.92       3.000       4.899    
         372   13.01       3.000       5.835    
         373   13.10       3.000       5.835    
         374   13.19       3.000       5.835    
         375   13.28       3.000       5.835    
         376   13.37       3.000       6.949    
         377   13.46       3.000       6.949    
         378   13.56       3.000       6.949    
         379   13.65       3.000       6.949    
         380   13.74       3.000       6.949    
         381   13.84       3.000       6.949    
         382   13.94       3.000       6.949    
         383   14.03       3.000       6.949    
         384   14.13       3.000       8.276    
         385   14.23       3.000       8.276    
         386   14.33       3.000       8.276    
         387   14.43       3.000       8.276    
         388   14.53       3.000       8.276    
         389   14.63       3.000       8.276    
         390   14.73       3.000       8.276    
         391   14.83       3.000       8.276    
         392   14.93       3.000       8.276    
         393   15.04       3.000       8.276    
         394   15.14       3.000       8.276    
         395   15.25       3.000       8.276    
         396   15.35       3.000       9.857    
         397   15.46       3.000       9.857    
         398   15.57       3.000       9.857    
         399   15.67       3.000       9.857    
         400   15.78       3.000       9.857    
         401   15.89       3.000       9.857    
         402   16.00       3.000       9.857    
         403   16.11       3.000       9.857    
         404   16.23       3.000       9.857    
         405   16.34       3.000       9.857    
         406   16.45       3.000       9.857    
         407   16.57       3.000       9.857    
         408   16.68       3.000       9.857    
         409   16.80       3.000       9.857    
         410   16.91       3.000       9.857    
         411   17.03       3.000       9.857    
         412   17.15       3.000       9.857    
         413   17.27       3.000       9.857    
         414   17.39       3.000       9.857    
         415   17.51       3.000       9.857    
         416   17.63       3.000       9.857    
         417   17.75       3.000       9.857    
         418   17.88       3.000       9.857    
         419   18.00       3.000       11.74    
         420   18.12       3.000       11.74    
         421   18.25       3.000       11.74    
         422   18.38       3.000       11.74    
         423   18.50       3.000       11.74    
         424   18.63       3.000       11.74    
         425   18.76       3.000       11.74    
         426   18.89       3.000       11.74    
         427   19.02       3.000       11.74    
         428   19.16       3.000       11.74    
         429   19.29       3.000       11.74    
         430   19.42       3.000       11.74    
         431   19.56       3.000       11.74    
         432   19.69       3.000       11.74    
         433   19.83       3.000       11.74    
         434   19.97       3.000       11.74    
         435   20.10       3.000       11.74    
         436   20.24       3.000       11.74    
         437   20.38       3.000       11.74    
         438   20.53       3.000       11.74    
         439   20.67       3.000       11.74    
         440   20.81       3.000       11.74    
         441   20.96       3.000       11.74    
         442   21.10       3.000       11.74    
         443   21.25       3.000       11.74    
         444   21.40       3.000       11.74    
         445   21.54       3.000       11.74    
         446   21.69       3.000       11.74    
         447   21.84       3.000       11.74    
         448   22.00       3.000       13.97    
         449   22.15       3.000       13.97    
         450   22.30       3.000       13.97    
         451   22.46       3.000       13.97    
         452   22.61       3.000       13.97    
         453   22.77       3.000       13.97    
         454   22.93       3.000       13.97    
         455   23.09       3.000       13.97    
         456   23.25       3.000       13.97    
         457   23.41       3.000       13.97    
         458   23.57       3.000       13.97    
         459   23.73       3.000       13.97    
         460   23.90       3.000       13.97    
         461   24.06       3.000       13.97    
         462   24.23       3.000       13.97    
         463   24.40       3.000       13.97    
         464   24.57       3.000       13.97    
         465   24.74       3.000       13.97    
         466   24.91       3.000       13.97    
         467   25.08       3.000       13.97    
         468   25.26       3.000       13.97    
         469   25.43       3.000       13.97    
         470   25.61       3.000       13.97    
         471   25.79       3.000       13.97    
         472   25.97       3.000       13.97    
         473   26.15       3.000       13.97    
         474   26.33       3.000       13.97    
         475   26.51       3.000       13.97    
         476   26.69       3.000       13.97    
         477   26.88       3.000       13.97    
         478   27.07       3.000       13.97    
         479   27.25       3.000       13.97    
         480   27.44       3.000       13.97    
         481   27.63       3.000       13.97    
         482   27.83       3.000       13.97    
         483   28.02       3.000       16.60    
         484   28.21       3.000       16.60    
         485   28.41       3.000       16.60    
         486   28.61       3.000       16.60    
         487   28.80       3.000       16.60    
         488   29.00       3.000       16.60    
         489   29.21       3.000       16.60    
         490   29.41       3.000       16.60    
         491   29.61       3.000       16.60    
         492   29.82       3.000       16.60    
         493   30.02       3.000       16.60    
         494   30.23       3.000       16.60    
         495   30.44       3.000       16.60    
         496   30.65       3.000       16.60    
         497   30.87       3.000       16.60    
         498   31.08       3.000       16.60    
         499   31.30       3.000       16.60    
         500   31.51       3.000       16.60    
         501   31.73       3.000       16.60    
         502   31.95       3.000       16.60    
         503   32.17       3.000       16.60    
         504   32.40       3.000       16.60    
         505   32.62       3.000       16.60    
         506   32.85       3.000       16.60    
         507   33.08       3.000       16.60    
         508   33.31       3.000       16.60    
         509   33.54       3.000       16.60    
         510   33.77       3.000       16.60    
         511   34.00       3.000       16.60    
         512   34.24       3.000       16.60    
         513   34.48       3.000       16.60    
         514   34.72       3.000       16.60    
         515   34.96       3.000       16.60    
         516   35.20       3.000       16.60    
