BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
CO2                                                             
cross_section_CO2_IST-Lisbon.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction CO2                          1.000    
          25   2.300      0.3498E-01  0.1739E+25  0.4036E+23  0.2935E+25  0.6014E+23  0.1025E-12  0.1012E-12   0.000       0.000       0.000       0.000      0.9202E-17 -0.9141E-20  0.9210E-17   0.000      0.6211       4.000       1.000    
          26   2.382      0.3529E-01  0.1739E+25  0.4071E+23  0.2935E+25  0.6064E+23  0.1025E-12  0.1012E-12   0.000       0.000       0.000       0.000      0.9862E-17 -0.8364E-20  0.9870E-17   0.000      0.6211       4.000       1.000    
          27   2.466      0.3563E-01  0.1740E+25  0.4114E+23  0.2939E+25  0.6127E+23  0.1025E-12  0.1011E-12   0.000       0.000       0.000       0.000      0.1058E-16 -0.7544E-20  0.1059E-16   0.000      0.7398       8.000       2.000    
          28   2.553      0.3597E-01  0.1741E+25  0.4156E+23  0.2942E+25  0.6192E+23  0.1025E-12  0.1010E-12   0.000       0.000       0.000       0.000      0.1135E-16 -0.6644E-20  0.1135E-16   0.000      0.7398       4.000       1.000    
          29   2.643      0.3633E-01  0.1742E+25  0.4199E+23  0.2945E+25  0.6260E+23  0.1025E-12  0.1010E-12   0.000       0.000       0.000       0.000      0.1217E-16 -0.5709E-20  0.1218E-16   0.000      0.7398       4.000       1.000    
          30   2.736      0.3671E-01  0.1743E+25  0.4245E+23  0.2948E+25  0.6333E+23  0.1024E-12  0.1009E-12   0.000       0.000       0.000       0.000      0.1305E-16 -0.4740E-20  0.1306E-16   0.000      0.7398       4.000       1.000    
          31   2.833      0.3709E-01  0.1745E+25  0.4293E+23  0.2952E+25  0.6410E+23  0.1024E-12  0.1008E-12   0.000       0.000       0.000       0.000      0.1400E-16 -0.3732E-20  0.1401E-16   0.000      0.7398       4.000       1.000    
          32   2.933      0.3750E-01  0.1746E+25  0.4342E+23  0.2956E+25  0.6492E+23  0.1024E-12  0.1007E-12   0.000       0.000       0.000       0.000      0.1502E-16 -0.2686E-20  0.1503E-16   0.000      0.7398       4.000       1.000    
          33   3.037      0.3792E-01  0.1747E+25  0.4394E+23  0.2960E+25  0.6578E+23  0.1024E-12  0.1006E-12   0.000       0.000       0.000       0.000      0.1612E-16 -0.1598E-20  0.1612E-16   0.000      0.7398       4.000       1.000    
          34   3.144      0.3836E-01  0.1749E+25  0.4449E+23  0.2964E+25  0.6670E+23  0.1023E-12  0.1006E-12   0.000       0.000       0.000       0.000      0.1729E-16 -0.4665E-21  0.1729E-16   0.000      0.7398       4.000       1.000    
