BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_air_phelps.txt
--------------------------------------------------
O2                                                              
cross_section_air_phelps.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction N2                          0.8000    
A22    Mole fraction O2                          0.2000    
          R#      A1         A16         A17    
          15   1.626      0.3109      0.5113E+25  0.1368E+25  0.7566E+25  0.1491E+25  0.2500E-13  0.3440E-13   0.000      0.3916E-36   0.000      0.4711E-40  0.1351E-16  0.3341E-18  0.1318E-16 -0.1217E-36   2.044       4.000       1.000    
          16   1.683      0.3187      0.5040E+25  0.1375E+25  0.7441E+25  0.1505E+25  0.2544E-13  0.3490E-13   0.000      0.3843E-36   0.000      0.4530E-40  0.1428E-16  0.3508E-18  0.1393E-16 -0.1225E-36   2.044       4.000       1.000    
          17   1.743      0.3269      0.4967E+25  0.1383E+25  0.7314E+25  0.1519E+25  0.2589E-13  0.3541E-13   0.000      0.3769E-36   0.000      0.4354E-40  0.1508E-16  0.3688E-18  0.1472E-16 -0.1232E-36   2.044       4.000       1.000    
          18   1.804      0.3357      0.4894E+25  0.1392E+25  0.7186E+25  0.1533E+25  0.2636E-13  0.3594E-13   0.000      0.3695E-36   0.000      0.4185E-40  0.1593E-16  0.3880E-18  0.1554E-16 -0.1240E-36   2.044       4.000       1.000    
          19   1.868      0.3450      0.4819E+25  0.1401E+25  0.7056E+25  0.1549E+25  0.2685E-13  0.3650E-13   0.000      0.3619E-36   0.000      0.4020E-40  0.1681E-16  0.4089E-18  0.1642E-16 -0.1248E-36   2.435       9.000       2.000    
          20   1.934      0.3546      0.4744E+25  0.1411E+25  0.6925E+25  0.1564E+25  0.2736E-13  0.3707E-13   0.000      0.3544E-36   0.000      0.3862E-40  0.1774E-16  0.4310E-18  0.1732E-16 -0.1257E-36   2.435       5.000       1.000    
          21   2.002      0.3648      0.4669E+25  0.1421E+25  0.6795E+25  0.1580E+25  0.2789E-13  0.3767E-13   0.000      0.3468E-36   0.000      0.3709E-40  0.1872E-16  0.4546E-18  0.1828E-16 -0.1265E-36   2.435       5.000       1.000    
          22   2.073      0.3755      0.4593E+25  0.1431E+25  0.6663E+25  0.1597E+25  0.2844E-13  0.3829E-13   0.000      0.3391E-36   0.000      0.3562E-40  0.1974E-16  0.4798E-18  0.1927E-16 -0.1273E-36   2.435       5.000       1.000    
          23   2.146      0.3867      0.4517E+25  0.1442E+25  0.6532E+25  0.1614E+25  0.2901E-13  0.3894E-13   0.000      0.3315E-36   0.000      0.3419E-40  0.2081E-16  0.5067E-18  0.2031E-16 -0.1282E-36   2.435       5.000       1.000    
          24   2.222      0.3984      0.4440E+25  0.1454E+25  0.6401E+25  0.1631E+25  0.2961E-13  0.3961E-13   0.000      0.3238E-36   0.000      0.3281E-40  0.2192E-16  0.5351E-18  0.2140E-16 -0.1290E-36   2.435       5.000       1.000    
          25   2.300      0.4106      0.4363E+25  0.1465E+25  0.6271E+25  0.1648E+25  0.3022E-13  0.4031E-13   0.000      0.3160E-36   0.000      0.3149E-40  0.2309E-16  0.5652E-18  0.2254E-16 -0.1298E-36   2.435       5.000       1.000    
          26   2.382      0.4233      0.4285E+25  0.1478E+25  0.6142E+25  0.1665E+25  0.3084E-13  0.4104E-13   0.000      0.3083E-36   0.000      0.3021E-40  0.2431E-16  0.5970E-18  0.2373E-16 -0.1305E-36   2.435       5.000       1.000    
          27   2.466      0.4365      0.4208E+25  0.1490E+25  0.6014E+25  0.1682E+25  0.3149E-13  0.4180E-13   0.000      0.3006E-36   0.000      0.2897E-40  0.2558E-16  0.6304E-18  0.2497E-16 -0.1312E-36   2.435       5.000       1.000    
          28   2.553      0.4500      0.4130E+25  0.1503E+25  0.5888E+25  0.1699E+25  0.3215E-13  0.4259E-13   0.000      0.2929E-36   0.000      0.2778E-40  0.2692E-16  0.6654E-18  0.2626E-16 -0.1318E-36   2.435       5.000       1.000    
          29   2.643      0.4640      0.4052E+25  0.1516E+25  0.5765E+25  0.1716E+25  0.3283E-13  0.4341E-13   0.000      0.2852E-36   0.000      0.2663E-40  0.2831E-16  0.7019E-18  0.2762E-16 -0.1323E-36   2.435       5.000       1.000    
          30   2.736      0.4784      0.3974E+25  0.1529E+25  0.5643E+25  0.1733E+25  0.3353E-13  0.4426E-13   0.000      0.2776E-36   0.000      0.2553E-40  0.2976E-16  0.7400E-18  0.2903E-16 -0.1328E-36   2.435       5.000       1.000    
          31   2.833      0.4931      0.3897E+25  0.1543E+25  0.5525E+25  0.1749E+25  0.3423E-13  0.4514E-13   0.000      0.2701E-36   0.000      0.2446E-40  0.3128E-16  0.7794E-18  0.3051E-16 -0.1332E-36   2.435       5.000       1.000    
          32   2.933      0.5080      0.3820E+25  0.1557E+25  0.5409E+25  0.1765E+25  0.3495E-13  0.4604E-13   0.000      0.2626E-36   0.000      0.2344E-40  0.3286E-16  0.8202E-18  0.3206E-16 -0.1334E-36   2.435       5.000       1.000    
          33   3.037      0.5233      0.3744E+25  0.1571E+25  0.5296E+25  0.1780E+25  0.3567E-13  0.4698E-13   0.000      0.2553E-36   0.000      0.2245E-40  0.3452E-16  0.8622E-18  0.3368E-16 -0.1336E-36   2.435       5.000       1.000    
