BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O2                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O3                                                              
cross_section_Baohong_phelps.txt
--------------------------------------------------
O                                                               
cross_section_Baohong_phelps.txt
--------------------------------------------------
N                                                               
cross_section_Baohong_phelps.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction N2                          0.8000    
A22    Mole fraction O2                          0.2000    
A23    Mole fraction O3                           0.000    
A24    Mole fraction O                            0.000    
A25    Mole fraction N                            0.000    
          R#      A1         A16         A17    
         224  0.1307       3.000      0.8811    
         225  0.1322       3.000      0.8811    
         226  0.1337       3.000      0.8811    
         227  0.1352       3.000      0.8811    
         228  0.1368       3.000      0.8811    
         229  0.1384       3.000      0.8811    
         230  0.1400       3.000      0.8811    
         231  0.1416       3.000      0.8811    
         232  0.1433       3.000      0.8811    
         233  0.1449       3.000      0.8811    
         234  0.1466       3.000      0.8811    
         235  0.1483       3.000      0.8811    
         236  0.1500       3.000      0.8811    
         237  0.1518       3.000      0.8811    
         238  0.1535       3.000      0.8811    
         239  0.1553       3.000      0.8811    
         240  0.1571       3.000      0.8811    
         241  0.1589       3.000      0.8811    
         242  0.1608       3.000      0.8811    
         243  0.1626       3.000      0.8811    
         244  0.1645       3.000      0.8811    
         245  0.1664       3.000      0.8811    
         246  0.1684       3.000      0.8811    
         247  0.1703       3.000      0.8811    
         248  0.1723       3.000      0.8811    
         249  0.1743       3.000      0.8811    
         250  0.1763       3.000      0.8811    
         251  0.1783       3.000      0.8811    
         252  0.1804       3.000      0.8811    
         253  0.1825       3.000      0.8811    
         254  0.1846       3.000      0.8811    
         255  0.1868       3.000      0.8811    
         256  0.1889       3.000      0.8811    
         257  0.1911       3.000      0.8811    
         258  0.1933       3.000      0.8811    
         259  0.1956       3.000       1.049    
         260  0.1978       3.000       1.049    
         261  0.2001       3.000       1.049    
         262  0.2024       3.000       1.049    
         263  0.2048       3.000       1.049    
         264  0.2072       3.000       1.049    
         265  0.2096       3.000       1.049    
         266  0.2120       3.000       1.049    
         267  0.2145       3.000       1.049    
         268  0.2169       3.000       1.049    
         269  0.2195       3.000       1.049    
         270  0.2220       3.000       1.049    
         271  0.2246       3.000       1.049    
         272  0.2272       3.000       1.049    
         273  0.2298       3.000       1.049    
         274  0.2325       3.000       1.049    
         275  0.2352       3.000       1.049    
         276  0.2379       3.000       1.049    
         277  0.2406       3.000       1.049    
         278  0.2434       3.000       1.049    
         279  0.2463       3.000       1.049    
         280  0.2491       3.000       1.049    
         281  0.2520       3.000       1.049    
         282  0.2549       3.000       1.049    
         283  0.2579       3.000       1.049    
         284  0.2609       3.000       1.049    
         285  0.2639       3.000       1.049    
         286  0.2669       3.000       1.049    
         287  0.2700       3.000       1.049    
         288  0.2732       3.000       1.049    
         289  0.2763       3.000       1.049    
         290  0.2795       3.000       1.049    
         291  0.2828       3.000       1.049    
         292  0.2861       3.000       1.049    
         293  0.2894       3.000       1.049    
         294  0.2927       3.000       1.049    
         295  0.2961       3.000       1.049    
         296  0.2996       3.000       1.049    
         297  0.3030       3.000       1.049    
         298  0.3065       3.000       1.049    
         299  0.3101       3.000       1.049    
         300  0.3137       3.000       1.049    
         301  0.3173       3.000       1.049    
         302  0.3210       3.000       1.049    
         303  0.3247       3.000       1.049    
         304  0.3285       3.000       1.250    
         305  0.3323       3.000       1.250    
         306  0.3361       3.000       1.250    
         307  0.3400       3.000       1.250    
         308  0.3440       3.000       1.250    
         309  0.3480       3.000       1.250    
         310  0.3520       3.000       1.250    
         311  0.3561       3.000       1.250    
         312  0.3602       3.000       1.250    
         313  0.3644       3.000       1.250    
         314  0.3686       3.000       1.250    
         315  0.3729       3.000       1.250    
         316  0.3772       3.000       1.250    
         317  0.3816       3.000       1.250    
         318  0.3860       3.000       1.250    
         319  0.3905       3.000       1.250    
         320  0.3950       3.000       1.250    
         321  0.3996       3.000       1.250    
         322  0.4042       3.000       1.250    
         323  0.4089       3.000       1.250    
         324  0.4136       3.000       1.250    
         325  0.4184       3.000       1.250    
         326  0.4233       3.000       1.250    
         327  0.4282       3.000       1.488    
         328  0.4331       3.000       1.488    
         329  0.4382       3.000       1.488    
         330  0.4432       3.000       1.488    
         331  0.4484       3.000       1.488    
         332  0.4536       3.000       1.488    
         333  0.4588       3.000       1.488    
         334  0.4642       3.000       1.488    
         335  0.4695       3.000       1.488    
         336  0.4750       3.000       1.488    
         337  0.4805       3.000       1.488    
         338  0.4861       3.000       1.488    
         339  0.4917       3.000       1.488    
         340  0.4974       3.000       1.488    
         341  0.5032       3.000       1.488    
         342  0.5090       3.000       1.488    
         343  0.5149       3.000       1.488    
         344  0.5209       3.000       1.488    
         345  0.5269       3.000       1.488    
         346  0.5330       3.000       1.488    
         347  0.5392       3.000       1.488    
         348  0.5454       3.000       1.488    
         349  0.5517       3.000       1.488    
         350  0.5581       3.000       1.488    
         351  0.5646       3.000       1.488    
         352  0.5712       3.000       1.488    
         353  0.5778       3.000       1.488    
         354  0.5845       3.000       1.488    
         355  0.5913       3.000       1.488    
         356  0.5981       3.000       1.773    
         357  0.6050       3.000       1.773    
         358  0.6120       3.000       1.773    
         359  0.6191       3.000       1.773    
         360  0.6263       3.000       1.773    
         361  0.6336       3.000       1.773    
         362  0.6409       3.000       1.773    
         363  0.6484       3.000       1.773    
         364  0.6559       3.000       1.773    
         365  0.6635       3.000       1.773    
         366  0.6712       3.000       1.773    
         367  0.6789       3.000       1.773    
         368  0.6868       3.000       1.773    
         369  0.6948       3.000       1.773    
         370  0.7028       3.000       1.773    
         371  0.7110       3.000       1.773    
         372  0.7192       3.000       1.773    
         373  0.7275       3.000       1.773    
         374  0.7360       3.000       1.773    
         375  0.7445       3.000       1.773    
         376  0.7531       3.000       1.773    
         377  0.7619       3.000       1.773    
         378  0.7707       3.000       1.773    
         379  0.7796       3.000       1.773    
         380  0.7887       3.000       1.773    
         381  0.7978       3.000       1.773    
         382  0.8071       3.000       1.773    
         383  0.8164       3.000       1.773    
         384  0.8259       3.000       1.773    
         385  0.8355       3.000       1.773    
         386  0.8451       3.000       1.773    
         387  0.8549       3.000       1.773    
         388  0.8648       3.000       1.773    
         389  0.8749       3.000       1.773    
         390  0.8850       3.000       1.773    
         391  0.8953       3.000       1.773    
         392  0.9056       3.000       1.773    
         393  0.9161       3.000       1.773    
         394  0.9268       3.000       1.773    
         395  0.9375       3.000       1.773    
         396  0.9484       3.000       2.111    
         397  0.9594       3.000       2.111    
